Resumed from models/iter_050.pt
Iter  96/250 | Loss: 1.4088 | Avg remaining: 5.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 259s
Iter  97/250 | Loss: 1.4104 | Avg remaining: 5.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 259s
Iter  98/250 | Loss: 1.4060 | Avg remaining: 6.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 259s
Iter  99/250 | Loss: 1.3847 | Avg remaining: 7.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 262s
Iter 100/250 | Loss: 1.4092 | Avg remaining: 6.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 268s
  -> Saved checkpoint: models/iter_100.pt
Iter 101/250 | Loss: 1.4118 | Avg remaining: 7.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 284s
Iter 102/250 | Loss: 1.3959 | Avg remaining: 6.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 316s
Iter 103/250 | Loss: 1.4181 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 275s
Iter 104/250 | Loss: 1.3721 | Avg remaining: 4.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 265s
Iter 105/250 | Loss: 1.3795 | Avg remaining: 8.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 276s
Iter 106/250 | Loss: 1.3632 | Avg remaining: 7.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 265s
Iter 107/250 | Loss: 1.3896 | Avg remaining: 8.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 292s
Iter 108/250 | Loss: 1.3979 | Avg remaining: 8.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 264s
Iter 109/250 | Loss: 1.4210 | Avg remaining: 8.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 271s
Iter 110/250 | Loss: 1.4407 | Avg remaining: 5.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 264s
Iter 111/250 | Loss: 1.4299 | Avg remaining: 6.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 265s
Iter 112/250 | Loss: 1.4000 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 267s
Iter 113/250 | Loss: 1.4131 | Avg remaining: 8.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 267s
Iter 114/250 | Loss: 1.3973 | Avg remaining: 7.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 260s
Iter 115/250 | Loss: 1.3766 | Avg remaining: 8.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 259s
Iter 116/250 | Loss: 1.4414 | Avg remaining: 6.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 315s
Iter 117/250 | Loss: 1.3918 | Avg remaining: 6.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 306s
Iter 118/250 | Loss: 1.4159 | Avg remaining: 4.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 276s
Iter 119/250 | Loss: 1.4293 | Avg remaining: 4.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 301s
Iter 120/250 | Loss: 1.4213 | Avg remaining: 5.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 289s
Iter 121/250 | Loss: 1.4016 | Avg remaining: 7.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 300s
Iter 122/250 | Loss: 1.3741 | Avg remaining: 8.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 304s
Iter 123/250 | Loss: 1.4046 | Avg remaining: 3.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 298s
Iter 124/250 | Loss: 1.4016 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 283s
Iter 125/250 | Loss: 1.3614 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 267s
